name,speed_km_h,miss_distance_km,diameter_min_km,diameter_max_km,is_hazardous
(2018 MN8),76872.1614184714,8372710.477759523,0.0732073989,0.1636967205,False
(2019 AO12),63480.0089204406,73434446.32022266,0.0201629919,0.0450858206,False
(2019 VB4),55079.2281600126,68137426.8952891,0.0167708462,0.0375007522,False
(2022 NC),53830.3966575185,37849924.249359936,0.0248058993,0.0554676771,False
(2025 MB1),43232.5171950052,4301540.44513314,0.032044609,0.071653924,False
(2025 MS1),22782.5150035193,314254.725347597,0.0032535312,0.0072751169,False
(2008 GL20),58420.2417572189,58936104.45200813,0.0127219879,0.0284472297,False
(2014 BW32),53602.762241777,64643417.278314225,0.0127219879,0.0284472297,False
(2018 LG4),77857.3904758492,65185184.60317861,0.0105816886,0.023661375,False
(2021 FA1),48307.3547137031,51408976.501660295,0.0046833323,0.0104722495,False
(2022 LZ2),40324.8376671455,28334700.95449286,0.0445199816,0.0995497053,False
(2024 GG2),58682.20584838,72861504.80386174,0.0378926498,0.0847305409,False
(2025 LT),52129.1829984055,1287896.410391146,0.034958676,0.078169976,False
(2025 LZ),54076.1309865324,17203259.82121115,0.0814995061,0.1822384357,False
(2025 MP),52574.0605431926,3049700.023610672,0.0277686634,0.0620926191,False
(2025 MA1),57478.5977958983,10453365.809273876,0.0375971545,0.0840697931,False
(2025 MQ1),47753.922077104,582990.214725843,0.0080196419,0.0179324645,False
(2000 LF3),52150.675786825,7249057.179886915,0.1266353563,0.283165265,True
(2012 HG2),10259.770494622,32785340.3008904,0.0105816886,0.023661375,False
(2019 YS3),21480.3374551647,18937512.398627028,0.0315177333,0.0704757942,False
(2021 CT1),31021.3470027669,22508348.046619754,0.0228325794,0.0510551996,False
(2023 DO),33203.9999971601,56936977.99991168,0.0201629919,0.0450858206,False
(2025 MC),31128.980797848,198680.557152325,0.0050437665,0.0112782049,False
(2014 AG5),17379.303065052,22981062.0717968,0.0802703167,0.1794898848,False
(2021 JJ4),25442.1173501712,20323177.853685834,0.0157962856,0.0353215683,False
(2025 KK3),23210.3237204282,23103451.32055779,0.0544947892,0.121854053,False
(2025 KT6),32953.4200921201,2699150.566153664,0.0528147194,0.1180973027,False
(2025 KU6),32916.4494147032,8491097.848859932,0.0424575546,0.0949379782,False
(2025 KL14),27066.0471250388,29208873.594593644,0.1337688448,0.2991162302,True
(2016 XC18),63177.3748981224,11910040.466411546,0.1102947845,0.2466266358,True
(2019 BB5),48780.0195377501,60661119.4806298,0.0121494041,0.0271668934,False
(2019 LB5),74328.0820305106,58669875.14582642,0.0497227313,0.1111834072,False
